"nb_postcode","agricultural_land","national_parks","agricultural_land_band","national_parks_band"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2010,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2011,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2015,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2016,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2017,"0","0.001","0","0-5%"
2018,"0","0.001","0","0-5%"
2018,"0","0.001","0","0-5%"
2018,"0","0.001","0","0-5%"
2018,"0","0.001","0","0-5%"
2018,"0","0.001","0","0-5%"
2018,"0","0.001","0","0-5%"
