exposure_id,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,nb_policy_first_inception_date,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,nb_suburb,nb_postcode,nb_state,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,exposure_id_1,row_num,earned_premium,earned_units
exposure_003cf5ba-b6c5-463e-a652-5850644f809c,female,false,,false,2024-04-20 17:00:00,2.0,80,200,Apartment,Turner,2612,ACT,1996-12-08,80200,0-6 months,27.0,1,3.0,purebred,retriever,golden retriever,golden retriever,false,0,2024-04-20 14:32:50.307892,Afternoon (12:00 - 17:59),exposure_003cf5ba-b6c5-463e-a652-5850644f809c,1,31.28387096774194,0.6451612903225805
exposure_003d7dd4-7c24-4cd4-b8bb-5ce8d69591de,female,false,,,2024-06-18 17:00:00,2.0,80,0,House,Meadow Springs,6210,WA,1975-06-05,800,0-6 months,49.0,1,2.0,designerbreed,water dog,mini groodle,mini groodle,false,0,2024-06-19 13:20:18.386818,Afternoon (12:00 - 17:59),exposure_003d7dd4-7c24-4cd4-b8bb-5ce8d69591de,1,43.23483870967741,1.5806451612903223
exposure_003e3670-e84d-497b-bd5a-058db7990d4c,female,true,7-12 mo,,2024-05-03 17:00:00,45.0,80,100,House,Coomera,4209,QLD,1996-11-01,80100,3 years,27.0,1,3.0,purebred,hound,rhodesian ridgeback,rhodesian ridgeback,true,0,2024-04-09 12:22:45.445554,Afternoon (12:00 - 17:59),exposure_003e3670-e84d-497b-bd5a-058db7990d4c,1,47.47906451612902,0.9967741935483869
exposure_004e3307-0542-490e-9c98-326401bd966e,male,false,,true,2024-09-25 17:00:00,37.0,80,100,House,Romsey,3434,VIC,1984-08-07,80100,3 years,40.0,1,2.0,purebred,collie related,australian shepherd,australian shepherd,false,0,2024-08-23 06:27:43.665707,Morning (05:00 - 11:59),exposure_004e3307-0542-490e-9c98-326401bd966e,1,7.308333333333333,0.16666666666666666
exposure_00517688-8235-4185-91aa-8dedddf410ad,male,true,0-3 mo,,2024-02-23 17:00:00,43.0,80,100,Apartment,Redfern,2016,NSW,1973-01-07,80100,3 years,51.0,1,1.0,designerbreed,water dog,cavoodle,cavoodle,false,0,2024-02-02 15:23:01.25385,Afternoon (12:00 - 17:59),exposure_00517688-8235-4185-91aa-8dedddf410ad,1,29.65516129032259,0.7419354838709675
exposure_005603d4-d738-4093-b54a-19837c75be52,female,false,,,2024-04-19 17:00:00,49.0,80,100,House,Chatswood,2067,NSW,1977-08-24,80100,4 years,46.0,1,3.0,purebred,retriever,golden retriever,golden retriever,false,0,2024-04-09 10:20:14.044735,Morning (05:00 - 11:59),exposure_005603d4-d738-4093-b54a-19837c75be52,1,33.703548387096774,0.6129032258064515
exposure_00597aac-1486-4407-837e-f349b8de2f2c,female,true,4-6 mo,false,2024-05-14 17:00:00,25.0,80,100,House,Semaphore Park,5019,SA,1995-03-31,80100,2 years,29.0,6,1.8333333333333333,cross,cross,cross,"shih tzu, maltese, chihuahua, shar pei, labrador retriever, american staffordshire terrier",false,0,2024-05-15 10:14:23.711175,Morning (05:00 - 11:59),exposure_00597aac-1486-4407-837e-f349b8de2f2c,1,37.13247311827957,0.9849462365591397
exposure_00601eb8-3e22-4298-8d90-9611a2513569,female,true,1-2 yr,false,2024-06-08 17:00:00,20.0,80,200,House,Thornlands,4164,QLD,1997-09-27,80200,1 years,26.0,1,2.0,unnamed cross,unknown,australian kelpie cross,australian kelpie cross,false,0,2024-06-09 17:47:44.548522,Afternoon (12:00 - 17:59),exposure_00601eb8-3e22-4298-8d90-9611a2513569,1,32.934236559139784,0.9913978494623655
exposure_006641d0-199f-4cff-927c-d386322a9ebc,female,false,,,2023-12-04 17:00:00,3.0,100,100,House,Narooma,2546,NSW,1955-08-21,100100,0-6 months,68.0,1,1.0,purebred,terrier,australian terrier,australian terrier,false,0,2023-12-05 15:51:40.849674,Afternoon (12:00 - 17:59),exposure_006641d0-199f-4cff-927c-d386322a9ebc,1,40.93318279569892,0.9956989247311826
exposure_006ce5cd-30b1-4024-96d9-3bff3acb94a7,female,false,,true,2024-06-17 17:00:00,3.0,80,200,House,Cronulla,2230,NSW,1994-07-29,80200,0-6 months,29.0,1,1.0,designerbreed,water dog,cavoodle,cavoodle,false,0,2024-06-18 12:08:39.503626,Afternoon (12:00 - 17:59),exposure_006ce5cd-30b1-4024-96d9-3bff3acb94a7,1,32.9072688172043,0.9817204301075269
exposure_006da2d7-e030-4705-90b0-da8ad3368333,male,false,,false,2024-08-11 17:00:00,5.0,80,200,House,Herne Hill,6056,WA,1958-07-02,80200,0-6 months,66.0,1,1.0,unnamed cross,unknown,jack russell terrier cross,jack russell terrier cross,true,0,2024-08-09 19:21:23.218896,Evening (18:00 - 23:59),exposure_006da2d7-e030-4705-90b0-da8ad3368333,1,10.748064516129032,0.7096774193548385
exposure_006dffd7-6979-43a9-bbda-b4bf9afb0752,male,true,4-6 mo,false,2024-08-01 17:00:00,6.0,80,200,House,Petrie,4502,QLD,1982-09-13,80200,0-6 months,41.0,1,3.0,purebred,brachycephalic,american staffordshire terrier,american staffordshire terrier,false,0,2024-08-02 06:59:35.286456,Morning (05:00 - 11:59),exposure_006dffd7-6979-43a9-bbda-b4bf9afb0752,1,32.105440860215054,0.9989247311827956
exposure_007da5a4-bc70-40b6-baa9-d26a036773ae,female,false,,false,2024-08-07 17:00:00,3.0,80,200,House,West Wollongong,2500,NSW,1986-03-13,80200,0-6 months,38.0,1,3.0,designerbreed,water dog,groodle,groodle,false,0,2024-08-05 16:26:24.349962,Afternoon (12:00 - 17:59),exposure_007da5a4-bc70-40b6-baa9-d26a036773ae,1,34.98467741935483,0.9924731182795696
exposure_008bcb59-460c-40e1-8fc7-81d2b6f391f4,male,false,,false,2024-05-01 17:00:00,10.0,80,100,House,Kalkallo,3064,VIC,1992-04-29,80100,7-12 months,32.0,1,1.0,purebred,teckel,dachshundminiature smooth haired,dachshundminiature smooth haired,false,1,2024-04-30 16:58:27.300216,Afternoon (12:00 - 17:59),exposure_008bcb59-460c-40e1-8fc7-81d2b6f391f4,1,46.04044086021504,0.9989247311827956
exposure_008c5d3b-3ab9-4a63-9855-a23079f4ff52,female,true,1-2 yr,,2024-03-09 17:00:00,24.0,90,100,House,Fadden,2904,ACT,1999-11-20,90100,2 years,24.0,1,1.0,purebred,teckel,dachshundminiature smooth haired,dachshundminiature smooth haired,false,0,2024-03-10 11:09:55.544347,Morning (05:00 - 11:59),exposure_008c5d3b-3ab9-4a63-9855-a23079f4ff52,1,57.75561290322581,0.9903225806451611
exposure_00903988-ba9d-4f35-91fd-9ef40062789f,female,false,,,2024-01-08 17:00:00,6.0,100,100,House,Clifton Springs,3222,VIC,1979-07-17,100100,0-6 months,44.0,1,3.0,purebred,pointer,dalmatian,dalmatian,false,0,2024-01-09 03:12:17.697736,Late Night (00:00 - 04:59),exposure_00903988-ba9d-4f35-91fd-9ef40062789f,1,48.03322580645161,0.9913978494623654
exposure_00999f93-ea07-4e5e-8725-ef90dff9d0bb,female,true,4-6 mo,,2024-03-30 17:00:00,18.0,80,0,Apartment,Marsfield,2122,NSW,1988-04-28,800,1 years,35.0,2,1.5,cross,cross,cross,"japanese spitz, poodle cross",false,0,2024-03-02 09:39:25.731463,Morning (05:00 - 11:59),exposure_00999f93-ea07-4e5e-8725-ef90dff9d0bb,1,41.984516129032265,0.9354838709677418
exposure_009dd804-dba4-4184-ae67-6c631aada3e9,male,true,7-12 mo,true,2024-09-13 17:00:00,38.0,80,200,House,Broadbeach Waters,4218,QLD,1993-08-22,80200,3 years,31.0,1,2.0,purebred,collie related,border collie,border collie,false,0,2024-09-02 11:34:10.26647,Morning (05:00 - 11:59),exposure_009dd804-dba4-4184-ae67-6c631aada3e9,1,19.346,0.5666666666666667
exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874,female,false,,,2024-02-19 17:00:00,2.0,80,100,House,Rouse Hill,2155,NSW,1991-12-02,80100,0-6 months,32.0,1,3.0,purebred,spitz related,chow chow,chow chow,false,0,2024-02-20 20:34:15.223009,Evening (18:00 - 23:59),exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874,1,27.286451612903225,0.6129032258064515
exposure_00aba3af-4238-4363-83c2-153bb06a95d8,male,false,,,2024-03-11 17:00:00,3.0,100,100,House,Craigmore,5114,SA,1977-11-21,100100,0-6 months,46.0,1,1.0,purebred,white fluffy,maltese,maltese,false,2,2024-03-09 16:45:07.13409,Afternoon (12:00 - 17:59),exposure_00aba3af-4238-4363-83c2-153bb06a95d8,1,40.89055913978495,0.9881720430107523
exposure_00b3d0f3-215e-4c71-a794-5b0cd3189fc9,female,false,,,2023-11-28 17:00:00,2.0,80,100,House,Margaret River,6285,WA,1996-09-26,80100,0-6 months,27.0,1,2.0,purebred,collie related,border collie,border collie,false,0,2023-11-30 00:00:44.577665,Late Night (00:00 - 04:59),exposure_00b3d0f3-215e-4c71-a794-5b0cd3189fc9,1,31.929032258064513,0.9032258064516128
exposure_00b7d668-a3bf-48c7-a742-8cb76bc20ab3,male,false,,,2024-09-09 17:00:00,4.0,80,200,House,Vaucluse,2030,NSW,1981-09-07,80200,0-6 months,43.0,1,3.0,purebred,retriever,golden retriever,golden retriever,false,0,2024-09-10 13:17:25.660503,Afternoon (12:00 - 17:59),exposure_00b7d668-a3bf-48c7-a742-8cb76bc20ab3,1,30.443,1.4000000000000001
exposure_00bf47e8-da8b-4f6e-989e-559e21bde9f1,male,true,1-2 yr,false,2024-04-28 17:00:00,32.0,80,0,House,Mount Cotton,4165,QLD,1983-01-25,800,2 years,41.0,1,2.0,purebred,brachycephalic,french bulldog,french bulldog,true,0,2024-04-29 22:10:12.542228,Evening (18:00 - 23:59),exposure_00bf47e8-da8b-4f6e-989e-559e21bde9f1,1,93.83612903225804,0.9032258064516128
exposure_00c6a12c-13bb-48b4-8217-2501a22e7271,male,false,,,2024-03-23 17:00:00,3.0,90,100,House,Baringa,4551,QLD,1984-03-08,90100,0-6 months,40.0,1,3.0,cross,,australian cobberdog,australian cobberdog,false,0,2024-03-24 14:39:58.570363,Afternoon (12:00 - 17:59),exposure_00c6a12c-13bb-48b4-8217-2501a22e7271,1,32.207419354838706,0.7419354838709675
exposure_00cde33b-5493-4028-9462-25cacaa0fe4e,female,false,,,2024-06-18 17:00:00,21.0,80,200,House,Nundah,4012,QLD,1963-07-12,80200,1 years,60.0,1,1.0,designerbreed,water dog,cavoodle,cavoodle,true,0,2024-06-19 14:25:11.975298,Afternoon (12:00 - 17:59),exposure_00cde33b-5493-4028-9462-25cacaa0fe4e,1,30.33677419354839,0.9806451612903224
exposure_00ce556f-3950-4baf-b8df-a72f2f8ce105,male,false,,,2024-06-20 17:00:00,60.0,80,200,House,Banya,4551,QLD,1994-04-29,80200,5 years,30.0,1,2.0,purebred,hound,beagle,beagle,false,0,2024-06-06 09:31:53.142846,Morning (05:00 - 11:59),exposure_00ce556f-3950-4baf-b8df-a72f2f8ce105,1,24.85806451612903,0.6451612903225805
exposure_00d4e68f-fa47-4a1a-9a1b-f8b9a1937342,male,true,4-6 mo,false,2024-07-27 17:00:00,21.0,90,200,Apartment,Wentworth Point,2127,NSW,1996-08-26,90200,1 years,27.0,1,1.0,designerbreed,water dog,cavoodle,cavoodle,false,0,2024-07-28 00:15:56.097965,Late Night (00:00 - 04:59),exposure_00d4e68f-fa47-4a1a-9a1b-f8b9a1937342,1,36.11903225806453,0.8709677419354835
exposure_00dc6bc1-1fbe-491d-8a20-0a64b727c694,male,true,4-6 mo,false,2024-08-28 17:00:00,5.0,80,200,House,Rooty Hill,2766,NSW,1999-08-08,80200,0-6 months,25.0,1,2.0,purebred,hound,beagle,beagle,false,0,2024-08-29 21:01:28.97278,Evening (18:00 - 23:59),exposure_00dc6bc1-1fbe-491d-8a20-0a64b727c694,1,30.501935483870966,1.8064516129032258
exposure_00ee5fb6-ee79-48d1-a55a-1f1a68aab417,male,false,,false,2024-07-04 17:00:00,3.0,90,200,House,Tarragindi,4121,QLD,1985-08-16,90200,0-6 months,38.0,1,2.0,purebred,spaniel,english cocker spaniel,english cocker spaniel,false,0,2024-07-03 18:43:35.296921,Evening (18:00 - 23:59),exposure_00ee5fb6-ee79-48d1-a55a-1f1a68aab417,1,42.11806451612903,0.9956989247311826
exposure_00f3dc79-305d-4a7a-ac32-e491101d832e,male,false,,false,2024-08-26 17:00:00,1.0,90,200,Apartment,Burleigh Heads,4220,QLD,2005-10-12,90200,0-6 months,18.0,1,2.0,purebred,brachycephalic,french bulldog,french bulldog,false,0,2024-08-26 07:27:45.042181,Morning (05:00 - 11:59),exposure_00f3dc79-305d-4a7a-ac32-e491101d832e,1,74.27612903225808,2.516129032258064
exposure_00f69207-ef97-4d46-804b-afa5f6fac166,male,false,,,2024-03-26 17:00:00,6.0,90,100,House,Sunbury,3429,VIC,1980-02-20,90100,0-6 months,44.0,1,2.0,purebred,spitz related,samoyed,samoyed,false,0,2024-03-27 11:44:41.168915,Morning (05:00 - 11:59),exposure_00f69207-ef97-4d46-804b-afa5f6fac166,1,44.82903225806453,0.8387096774193545
exposure_00f7d7ad-eaaf-4d1f-bf11-6740276c7308,male,false,,,2024-05-19 17:00:00,4.0,90,200,House,Liverpool,2170,NSW,1992-11-07,90200,0-6 months,31.0,1,1.0,purebred,water dog,poodletoy,poodletoy,false,0,2024-05-20 09:12:22.596044,Morning (05:00 - 11:59),exposure_00f7d7ad-eaaf-4d1f-bf11-6740276c7308,1,23.890967741935484,0.6129032258064515
exposure_00fe148a-98c1-45b6-bb55-6819922228b6,male,false,,,2024-01-05 17:00:00,29.0,80,100,House,Mango Hill,4509,QLD,1984-07-10,80100,2 years,39.0,1,1.0,purebred,spitz related,schnauzerminiature,schnauzerminiature,false,0,2024-01-06 12:22:38.026791,Afternoon (12:00 - 17:59),exposure_00fe148a-98c1-45b6-bb55-6819922228b6,1,40.302150537634404,0.9946236559139783
exposure_00ff58bd-18fd-43f9-98cb-a012fb5c6141,female,false,,true,2024-07-28 17:00:00,29.0,80,200,House,Ocean Grove,3226,VIC,1980-05-01,80200,2 years,44.0,1,3.0,purebred,terrier,bull terrier,bull terrier,false,0,2024-07-28 13:43:39.062384,Afternoon (12:00 - 17:59),exposure_00ff58bd-18fd-43f9-98cb-a012fb5c6141,1,51.718709677419355,0.903225806451613
exposure_01048aa6-1022-48e0-94aa-91e13a7e118d,male,false,,false,2024-08-30 17:00:00,3.0,80,200,Apartment,Penrith,2750,NSW,1982-11-28,80200,0-6 months,41.0,1,2.0,purebred,teckel,dachshundstandard wire haired,dachshundstandard wire haired,false,0,2024-08-31 08:01:02.618241,Morning (05:00 - 11:59),exposure_01048aa6-1022-48e0-94aa-91e13a7e118d,1,38.531333333333336,0.9666666666666666
exposure_01054df0-86c8-4af6-b294-bcf8a962c757,male,false,,,2024-08-04 17:00:00,34.0,80,200,House,Glenroy,3046,VIC,1989-10-16,80200,2 years,34.0,1,2.0,cross,,labstaff,labstaff,false,0,2024-08-05 16:05:43.674376,Afternoon (12:00 - 17:59),exposure_01054df0-86c8-4af6-b294-bcf8a962c757,1,34.262,0.9956989247311826
exposure_0110a2ab-50ba-468d-b8ed-3563571e57ff,male,false,,,2024-03-02 17:00:00,60.0,80,100,House,Belfield,2191,NSW,1998-03-08,80100,5 years,26.0,1,2.0,purebred,hound,beagle,beagle,false,0,2024-03-03 16:43:44.541358,Afternoon (12:00 - 17:59),exposure_0110a2ab-50ba-468d-b8ed-3563571e57ff,1,48.24602150537635,0.9978494623655912
exposure_0111a9b2-8ff3-4676-88ad-d65ce3a417ce,female,false,,false,2024-08-08 17:00:00,5.0,80,200,House,Palmyra,4751,QLD,1993-01-06,80200,0-6 months,31.0,1,1.0,purebred,teckel,dachshundminiature smooth haired,dachshundminiature smooth haired,false,0,2024-07-31 23:27:35.584504,Evening (18:00 - 23:59),exposure_0111a9b2-8ff3-4676-88ad-d65ce3a417ce,1,9.174193548387095,0.5161290322580645
exposure_0114b1c2-da81-468f-8661-e5a21ba666f3,female,false,,,2024-03-22 17:00:00,4.0,90,100,House,Mount Sheridan,4868,QLD,1991-10-02,90100,0-6 months,32.0,1,2.0,purebred,collie related,border collie,border collie,true,0,2024-03-23 09:33:10.541632,Morning (05:00 - 11:59),exposure_0114b1c2-da81-468f-8661-e5a21ba666f3,1,26.201290322580647,1.4193548387096773
exposure_011542f8-1b7c-40dc-87cb-e0a97c25dc22,male,true,1-2 yr,,2023-12-29 17:00:00,59.0,80,100,House,Scarsdale,3351,VIC,1988-12-14,80100,4 years,35.0,1,3.0,purebred,shepherd type,maremma sheepdog,maremma sheepdog,true,0,2023-12-28 20:55:14.357125,Evening (18:00 - 23:59),exposure_011542f8-1b7c-40dc-87cb-e0a97c25dc22,1,39.6,0.9999999999999999
